tamanho,tipo,valor_buscado,seq_comp,seq_encontrado,bin_comp,bin_encontrado,arv_comp,arv_encontrado,altura_arvore,tempo_seq,tempo_bin,tempo_arv
100,Ordenados,1,1,1,6,1,1,1,100,0.000006,0.000001,0.000001
100,Ordenados,50,50,1,1,1,50,1,100,0.000000,0.000000,0.000001
100,Ordenados,100,100,1,7,1,100,1,100,0.000001,0.000001,0.000000
100,Ordenados,1099,100,0,7,0,100,0,100,0.000001,0.000000,0.000001
100,Embaralhados,1,63,1,6,1,3,1,16,0.000001,0.000000,0.000001
100,Embaralhados,50,91,1,1,1,9,1,16,0.000000,0.000000,0.000000
100,Embaralhados,100,2,1,7,1,2,1,16,0.000000,0.000000,0.000000
100,Embaralhados,1099,100,0,7,0,2,0,16,0.000000,0.000000,0.000001
10000,Ordenados,1,1,1,13,1,1,1,10000,0.000002,0.000001,0.000001
10000,Ordenados,5000,5000,1,1,1,5000,1,10000,0.000005,0.000001,0.000024
10000,Ordenados,10000,10000,1,14,1,10000,1,10000,0.000007,0.000000,0.000032
10000,Ordenados,10999,10000,0,14,0,10000,0,10000,0.000007,0.000001,0.000022
10000,Embaralhados,1,2963,1,13,1,12,1,32,0.000005,0.000001,0.000001
10000,Embaralhados,5000,9801,1,1,1,23,1,32,0.000011,0.000000,0.000001
10000,Embaralhados,10000,8088,1,14,1,9,1,32,0.000009,0.000001,0.000001
10000,Embaralhados,10999,10000,0,14,0,9,0,32,0.000010,0.000001,0.000000
100000,Ordenados,1,1,1,16,1,1,1,100000,0.000002,0.000001,0.000001
100000,Ordenados,50000,50000,1,1,1,50000,1,100000,0.000046,0.000000,0.000132
100000,Ordenados,100000,100000,1,17,1,100000,1,100000,0.000102,0.000000,0.000247
100000,Ordenados,100999,100000,0,17,0,100000,0,100000,0.000074,0.000000,0.000292
100000,Embaralhados,1,80371,1,16,1,17,1,43,0.000087,0.000000,0.000001
100000,Embaralhados,50000,77956,1,1,1,20,1,43,0.000054,0.000001,0.000001
100000,Embaralhados,100000,56098,1,17,1,14,1,43,0.000033,0.000000,0.000001
100000,Embaralhados,100999,100000,0,17,0,14,0,43,0.000066,0.000000,0.000000
